-1.0000,-1.0000,-0.2000,
-0.9661,-1.0000,-0.2568,
-0.9322,-1.0000,-0.3120,
-0.8983,-1.0000,-0.3655,
-0.8644,-1.0000,-0.4174,
-0.8305,-1.0000,-0.4675,
-0.7966,-1.0000,-0.5160,
-0.7627,-1.0000,-0.5626,
-0.7288,-1.0000,-0.6075,
-0.6949,-1.0000,-0.6507,
-0.6610,-1.0000,-0.6919,
-0.6271,-1.0000,-0.7314,
-0.5932,-1.0000,-0.7690,
-0.5593,-1.0000,-0.8047,
-0.5254,-1.0000,-0.8384,
-0.4915,-1.0000,-0.8703,
-0.4576,-1.0000,-0.9002,
-0.4237,-1.0000,-0.9281,
-0.3898,-1.0000,-0.9540,
-0.3559,-1.0000,-0.9778,
-0.3220,-1.0000,-0.9996,
-0.2881,-1.0000,-1.0194,
-0.2542,-1.0000,-1.0370,
-0.2203,-1.0000,-1.0525,
-0.1864,-1.0000,-1.0659,
-0.1525,-1.0000,-1.0771,
-0.1186,-1.0000,-1.0861,
-0.0847,-1.0000,-1.0929,
-0.0508,-1.0000,-1.0974,
-0.0169,-1.0000,-1.0997,
0.0169,-1.0000,-1.0997,
0.0508,-1.0000,-1.0974,
0.0847,-1.0000,-1.0928,
0.1186,-1.0000,-1.0858,
0.1525,-1.0000,-1.0764,
0.1864,-1.0000,-1.0646,
0.2203,-1.0000,-1.0504,
0.2542,-1.0000,-1.0337,
0.2881,-1.0000,-1.0146,
0.3220,-1.0000,-0.9930,
0.3559,-1.0000,-0.9688,
0.3898,-1.0000,-0.9421,
0.4237,-1.0000,-0.9128,
0.4576,-1.0000,-0.8810,
0.4915,-1.0000,-0.8465,
0.5254,-1.0000,-0.8094,
0.5593,-1.0000,-0.7697,
0.5932,-1.0000,-0.7272,
0.6271,-1.0000,-0.6821,
0.6610,-1.0000,-0.6342,
0.6949,-1.0000,-0.5835,
0.7288,-1.0000,-0.5301,
0.7627,-1.0000,-0.4739,
0.7966,-1.0000,-0.4149,
0.8305,-1.0000,-0.3530,
0.8644,-1.0000,-0.2882,
0.8983,-1.0000,-0.2206,
0.9322,-1.0000,-0.1500,
0.9661,-1.0000,-0.0765,
